# ID	Field	StarID	I	V	P_1	dP_1	A_1
 09989	 166.7	172363	16.079	17.848	0.6004679	0.0000005	0.350
 09990	 166.5	110818	16.449	18.325	0.4458746	0.0000006	0.475
 09991	 104.4	25547	16.262	17.618	0.2660738	0.0000000	0.173
 09992	 104.4	25548	16.035	17.426	0.2696483	0.0000001	0.237
 09993	 151.8	91642	17.052	18.969	0.4659901	0.0000025	0.627
 09994	 183.8	93166	16.561	18.298	0.3998665	0.0000002	0.824
 09995	 215.6	31326	16.352	18.065	0.4345489	0.0000005	0.235
 09996	 135.7	59824	15.598	16.704	0.5989363	0.0000006	0.723
 09998	 206.8	111253	16.207	17.407	0.3603395	0.0000005	0.269
 09999	 188.2	78836	16.109	17.493	0.3176157	0.0000001	0.242
 10000	 104.4	222061	15.823	17.056	0.2973914	0.0000001	0.244
 10001	 206.5	115732	16.120	17.731	0.5187341	0.0000002	0.513
 10002	 215.6	92795	16.376	18.234	0.5797315	0.0000002	0.506
 10003	 183.6	6691	17.677	19.456	0.6487875	0.0000007	0.316
 10004	 151.8	47277	15.917	17.464	0.5930149	0.0000016	0.496
 10005	 126.7	9950	15.816	16.829	0.4528376	0.0000004	0.723
 10006	 232.5	63987	17.847	21.094	0.3783329	0.0000010	0.263
 10007	 223.4	65101	16.875	18.949	0.5271060	0.0000012	0.459
 10008	 206.7	196787	16.050	17.355	0.3043481	0.0000001	0.254
 10009	 166.5	282	16.900	18.766	0.5294560	0.0000019	0.540
 10010	 232.6	66768	17.863	21.459	0.4874813	0.0000011	0.546
 10011	 104.4	156301	15.789	17.021	0.5552517	0.0000000	0.749
 10012	 166.8	53207	16.319	18.060	0.5859585	0.0000011	0.381
 10013	 151.7	134008	15.696	17.246	0.6725924	0.0000026	0.386
 10014	 104.3	143559	17.065	19.032	0.4711668	0.0000017	0.372
 10015	 183.6	173200	16.288	17.960	0.5231614	0.0000001	0.598
 10016	 188.2	78875	16.301	17.634	0.2759782	0.0000001	0.193
 10017	 158.7	18839	15.835	17.162	0.3755680	0.0000001	0.862
 10018	 104.4	156570	16.155	17.410	0.4828475	0.0000000	0.753
 10019	 174.8	151444	16.013	17.635	0.6694476	0.0000011	0.655
 10020	 215.7	164430	16.110	17.783	0.6300009	0.0000004	0.514
 10021	 223.2	124542	16.724	18.876	0.3872342	0.0000012	0.194
 10022	 223.4	7507	16.612	18.362	0.2867824	0.0000001	0.268
 10023	 158.5	104083	16.511	18.101	0.4143263	0.0000009	0.209
 10024	 188.4	86470	16.366	17.794	0.2482980	0.0000001	0.182
 10025	 215.6	153327	16.358	18.147	0.5041351	0.0000004	0.538
 10026	 126.8	15083	15.921	17.131	0.7055094	0.0000029	0.329
 10027	 223.2	181265	15.566	17.042	0.3639408	0.0000005	0.085
 10028	 206.5	238547	16.100	17.725	0.5955717	0.0000002	0.366
 10029	 104.4	156345	15.689	16.990	0.6100406	0.0000001	0.372
 10030	 215.5	78721	16.306	18.303	0.5946025	0.0000007	0.506
 10031	 223.2	124566	16.697	18.869	0.4570114	0.0000001	0.756
 10032	 215.6	92867	16.226	17.919	0.5358716	0.0000002	0.657
 10033	 104.1	197756	16.031	17.554	0.7792181	0.0000004	0.291
 10034	 188.1	119925	16.071	17.651	0.5832230	0.0000001	0.747
 10035	 188.1	174667	16.025	17.488	0.3274670	0.0000002	0.245
 10036	 188.3	84663	15.869	17.355	0.5682024	0.0000004	0.521
 10037	 206.8	50104	15.604	16.830	0.3297965	0.0000000	0.261
 10038	 158.6	17664	16.134	17.461	0.5463897	0.0000009	0.491
 10039	 206.7	196874	15.878	17.467	0.5288401	0.0000000	0.663
 10040	 104.3	143359	16.421	17.985	0.3135122	0.0000001	0.260
 10041	 206.7	196875	15.924	17.347	0.5465891	0.0000002	0.487
 10042	 151.7	4904	16.816	18.578	0.5864936	0.0000045	0.376
 10043	 104.2	23464	16.390	17.694	0.2541764	0.0000003	0.250
 10044	 104.1	197595	15.401	16.926	0.7906832	0.0000007	0.286
 10045	 151.6	58166	15.338	16.862	0.5977058	0.0000036	0.354
 10046	 215.7	164493	16.128	17.776	0.5340873	0.0000001	0.785
 10047	 183.6	59984	16.444	17.942	0.4859559	0.0000001	0.759
 10048	 174.7	55979	16.763	18.651	0.6147735	0.0000022	0.296
 10049	 223.3	176648	17.178	19.249	0.4361718	0.0000002	0.338
 10050	 104.3	21497	14.264	15.700	0.2583118	0.0000004	0.043
 10051	 183.8	140055	16.785	19.133	0.6181884	0.0000007	0.246
 10053	 151.6	150648	15.890	17.263	0.6154820	0.0000018	0.262
 10054	 232.6	158454	17.070	19.283	0.2332366	0.0000002	0.228
 10055	 188.1	16758	16.130	17.822	0.6665382	0.0000002	0.507
 10056	 188.2	208689	17.018	18.472	0.2985641	0.0000002	0.247
 10057	 174.6	58280	16.164	17.915	0.6048264	0.0000006	0.359
 10058	 188.3	84908	16.428	17.777	0.3218196	0.0000002	0.250
 10059	 183.6	123278	16.087	17.657	0.5592488	0.0000001	0.573
 10060	 232.5	103496	17.928	-99.99	0.3599630	0.0000006	0.322
 10061	 215.7	99732	16.248	17.933	0.2625440	0.0000002	0.120
 10062	 206.6	52141	17.018	18.352	0.5093000	0.0000002	0.481
 10063	 232.8	31787	16.920	19.176	0.5727790	0.0000006	0.226
 10064	 135.6	145843	15.247	16.334	0.2737061	0.0000003	0.293
 10065	 223.4	176362	16.313	18.449	0.5157122	0.0000001	0.667
